acc_x,acc_y,acc_z
0.114925,0.249005,9.912297
0.119714,0.260976,9.907509
0.117319,0.253793,9.921875
0.129291,0.260976,9.926663
0.107742,0.277736,9.936240
0.112531,0.268159,9.907509
0.114925,0.258582,9.953000
0.112531,0.265765,9.917087
0.117319,0.244216,9.924269
0.112531,0.244216,9.914692
0.119714,0.241822,9.926663
0.122108,0.263370,9.929058
0.122108,0.270553,9.919480
0.119714,0.249005,9.905115
0.119714,0.251399,9.909904
0.074223,0.260976,10.082292
-1.235446,0.193936,9.727939
-2.176396,-1.601770,9.890749
-1.666415,0.845179,9.929058
-1.266571,1.984854,9.821315
-0.193936,2.971295,10.048771
1.678387,3.718309,10.103840
3.110163,3.536344,9.991309
4.757424,1.958517,10.060742
4.664047,-0.395055,9.914692
1.848380,-1.776552,9.727939
0.514769,-4.989669,9.727939
-2.806090,-4.017593,10.027223
-2.118933,-1.826832,9.873989
-1.750215,-0.591386,10.020041
-1.168406,-0.521952,9.945818
-1.024750,0.557866,9.699207
-0.584203,1.599376,9.869201
0.100560,2.432583,9.914692
0.804476,1.958517,9.900327
0.009577,0.816448,9.909904
0.311256,0.409421,9.941029
0.390267,0.088588,9.914692
0.421392,-0.136474,9.933846
0.158022,0.225062,9.976943
0.122108,0.258582,9.931452
0.122108,0.244216,9.929058
0.119714,0.272947,9.900327
0.129291,0.270553,9.929058
0.126897,0.265765,9.907509
0.105348,0.246610,9.933846
0.124502,0.246610,9.926663
0.131685,0.258582,9.895537
0.105348,0.265765,9.931452
0.122108,0.246610,9.926663
0.107742,0.253793,9.931452
0.114925,0.256187,9.938635
0.107742,0.263370,9.929058
0.136474,0.275342,9.902720
0.134079,0.253793,9.917087
0.112531,0.253793,9.926663
0.117319,0.268159,9.914692
0.114925,0.253793,9.912297
0.136474,0.251399,9.917087
0.126897,0.268159,9.924269
0.122108,0.265765,9.938635
0.134079,0.265765,9.909904
0.114925,0.258582,9.917087
0.131685,0.260976,9.931452
0.134079,0.265765,9.926663
0.117319,0.263370,9.917087
0.114925,0.265765,9.926663
0.124502,0.263370,9.914692
0.126897,0.265765,9.936240
0.114925,0.249005,9.924269
0.117319,0.265765,9.912297
0.124502,0.256187,9.929058
0.131685,0.265765,9.933846
0.117319,0.258582,9.912297
0.119714,0.272947,9.924269
0.129291,0.265765,9.907509
0.119714,0.270553,9.917087
0.122108,0.268159,9.921875
0.124502,0.265765,9.917087
0.119714,0.258582,9.938635
0.112531,0.270553,9.936240
0.105348,0.251399,9.929058
0.124502,0.258582,9.902720
0.124502,0.270553,9.917087
0.122108,0.263370,9.912297
0.114925,0.263370,9.914692
0.112531,0.258582,9.931452
0.117319,0.256187,9.926663
0.117319,0.260976,9.929058
0.110137,0.258582,9.909904
0.117319,0.260976,9.924269
0.119714,0.270553,9.914692
0.129291,0.265765,9.919480
0.126897,0.253793,9.921875
0.131685,0.256187,9.924269
0.124502,0.249005,9.941029
0.201119,0.244216,9.893144
1.764580,1.240234,9.919480
-0.031126,2.513988,9.917087
-0.531529,2.961718,9.974549
-1.010384,1.611347,9.840469
-1.601770,-0.629694,9.945818
-1.429382,-2.810879,9.871595
-0.498009,-2.760599,9.964972
-1.484450,-2.035134,9.919480
-1.280937,-3.095797,9.972155
-0.356747,-1.896266,9.993703
1.209109,0.852362,9.885961
2.523566,1.972882,9.924269
2.719896,2.899467,9.998491
1.331217,2.593000,9.897932
0.660820,0.842785,9.924269
0.263370,0.761379,9.905115
-0.519558,-0.059857,9.897932
-1.180377,-0.167599,9.938635
0.107742,0.260976,9.926663
0.107742,0.260976,9.917087
0.124502,0.260976,9.929058
0.131685,0.251399,9.919480
0.107742,0.251399,9.921875
0.110137,0.268159,9.926663
0.124502,0.249005,9.914692
0.114925,0.265765,9.941029
0.131685,0.251399,9.926663
0.131685,0.268159,9.936240
0.102954,0.265765,9.924269
0.122108,0.239427,9.921875
0.117319,0.258582,9.921875
0.119714,0.263370,9.924269
0.126897,0.265765,9.912297
0.119714,0.275342,9.919480
0.114925,0.241822,9.938635
0.112531,0.253793,9.919480
0.119714,0.251399,9.919480
0.122108,0.258582,9.945818
0.110137,0.251399,9.917087
0.119714,0.272947,9.926663
0.122108,0.246610,9.926663
0.112531,0.249005,9.921875
0.119714,0.282524,9.931452
0.117319,0.292102,9.941029
0.122108,0.270553,9.912297
0.110137,0.244216,9.938635
0.119714,0.244216,9.924269
0.105348,0.275342,9.919480
0.110137,0.241822,9.917087
0.134079,0.258582,9.921875
0.126897,0.253793,9.909904
0.122108,0.277736,9.938635
0.112531,0.275342,9.931452
0.119714,0.253793,9.921875
0.122108,0.256187,9.926663
0.114925,0.258582,9.919480
0.134079,0.251399,9.921875
0.117319,0.263370,9.919480
0.112531,0.256187,9.933846
0.114925,0.270553,9.924269
0.105348,0.253793,9.914692
0.124502,0.275342,9.912297
0.117319,0.246610,9.921875
0.107742,0.244216,9.933846
0.124502,0.249005,9.929058
0.119714,0.268159,9.936240
0.105348,0.268159,9.936240
0.105348,0.268159,9.926663
0.110137,0.260976,9.914692
0.126897,0.249005,9.941029
0.102954,0.268159,9.924269
0.102954,0.237033,9.909904
-2.133299,-2.504411,9.885961
-1.690358,0.239427,9.888355
-0.996018,2.061471,9.919480
-0.150839,2.396669,9.993703
1.199532,2.023162,9.955395
2.181184,1.723878,9.986520
2.614548,2.322447,10.099051
3.407053,1.948940,10.005674
3.131711,-0.023943,9.888355
0.888276,-2.351178,9.945818
